"Broad_Bean_Origin","avg_rating","ISO","long","lat","group","order","region","subregion"
"Africa, Carribean, C. Am.",2.75,NA,151.859970092773,7.45737314224243,567,39767,"Micronesia","Moen"
"Africa, Carribean, C. Am.",2.75,NA,151.865341186523,7.46616172790527,567,39768,"Micronesia","Moen"
"Africa, Carribean, C. Am.",2.75,NA,151.8818359375,7.46708965301514,567,39769,"Micronesia","Moen"
"Africa, Carribean, C. Am.",2.75,NA,151.910552978516,7.46015644073486,567,39770,"Micronesia","Moen"
"Africa, Carribean, C. Am.",2.75,NA,151.91259765625,7.45385694503784,567,39771,"Micronesia","Moen"
"Africa, Carribean, C. Am.",2.75,NA,151.881439208984,7.43203115463257,567,39772,"Micronesia","Moen"
"Africa, Carribean, C. Am.",2.75,NA,138.142684936523,9.50068378448486,568,39774,"Micronesia","Yap"
"Africa, Carribean, C. Am.",2.75,NA,138.067092895508,9.41904258728027,568,39775,"Micronesia","Yap"
"Africa, Carribean, C. Am.",2.75,NA,138.061920166016,9.44575214385986,568,39776,"Micronesia","Yap"
"Africa, Carribean, C. Am.",2.75,NA,138.085067749023,9.49458026885986,568,39777,"Micronesia","Yap"
"Africa, Carribean, C. Am.",2.75,NA,138.116882324219,9.55019474029541,568,39778,"Micronesia","Yap"
"Africa, Carribean, C. Am.",2.75,NA,138.14697265625,9.58359336853027,568,39779,"Micronesia","Yap"
"Africa, Carribean, C. Am.",2.75,NA,138.185836791992,9.59331035614014,568,39780,"Micronesia","Yap"
"Africa, Carribean, C. Am.",2.75,NA,138.213577270508,9.54721736907959,568,39781,"Micronesia","Yap"
"Africa, Carribean, C. Am.",2.75,NA,138.182510375977,9.50737285614014,568,39782,"Micronesia","Yap"
"Africa, Carribean, C. Am.",2.75,NA,138.142684936523,9.50068378448486,568,39783,"Micronesia","Yap"
"Africa, Carribean, C. Am.",2.75,NA,73.7074203491211,-53.1371078491211,671,45804,"Heard Island",NA
"Africa, Carribean, C. Am.",2.75,NA,73.5879898071289,-53.1845703125,671,45805,"Heard Island",NA
"Africa, Carribean, C. Am.",2.75,NA,73.4651412963867,-53.1841812133789,671,45806,"Heard Island",NA
"Africa, Carribean, C. Am.",2.75,NA,73.4132843017578,-53.1467781066895,671,45807,"Heard Island",NA
"Africa, Carribean, C. Am.",2.75,NA,73.3363265991211,-53.0298805236816,671,45808,"Heard Island",NA
"Africa, Carribean, C. Am.",2.75,NA,73.2854537963867,-53.021484375,671,45809,"Heard Island",NA
"Africa, Carribean, C. Am.",2.75,NA,73.25390625,-52.9893569946289,671,45810,"Heard Island",NA
"Africa, Carribean, C. Am.",2.75,NA,73.2511672973633,-52.9757804870605,671,45811,"Heard Island",NA
"Africa, Carribean, C. Am.",2.75,NA,73.3052749633789,-52.96630859375,671,45812,"Heard Island",NA
"Africa, Carribean, C. Am.",2.75,NA,73.3880844116211,-52.9999008178711,671,45813,"Heard Island",NA
"Africa, Carribean, C. Am.",2.75,NA,73.5857391357422,-53.0271453857422,671,45814,"Heard Island",NA
"Africa, Carribean, C. Am.",2.75,NA,73.7312469482422,-53.0912094116211,671,45815,"Heard Island",NA
"Africa, Carribean, C. Am.",2.75,NA,73.8377914428711,-53.11279296875,671,45816,"Heard Island",NA
"Africa, Carribean, C. Am.",2.75,NA,73.7951202392578,-53.1298828125,671,45817,"Heard Island",NA
"Africa, Carribean, C. Am.",2.75,NA,73.7074203491211,-53.1371078491211,671,45818,"Heard Island",NA
"Africa, Carribean, C. Am.",2.75,NA,72.4919967651367,-7.37744092941284,843,52181,"Chagos Archipelago","Diego Garcia"
"Africa, Carribean, C. Am.",2.75,NA,72.46875,-7.41718769073486,843,52182,"Chagos Archipelago","Diego Garcia"
"Africa, Carribean, C. Am.",2.75,NA,72.4291000366211,-7.43535184860229,843,52183,"Chagos Archipelago","Diego Garcia"
